data_referencia,codigo,ticker_bbg,emissor,tipo_remuneracao,remuneracao,data_vcto,tx_compra,tx_venda,tx_indicativa,pu_indicativo,desp_pad,intervalo_indicativo_min,intervalo_indicativo_ax,PU_pct_par,duration,ref_ntnb,z_spread,lei_12431,vna,pu_par,RTG_SP_NATIONAL,RTG_FITCH_NATIONAL,AMT_OUTSTANDING,PAYMENT_RANK,COLLAT_TYP,CALLABLE,DUR_ADJ_MID,BICS_LEVEL_1_SECTOR_NAME,CPN_TYP,ISSUE_DT,AMT_OUTSTANDING,INDUSTRY_SECTOR,INDUSTRY_GROUP
4/24/2026,AALM12,YU628929     Corp,AURA ALMAS MINERACAO S.A. (*),DI SPREAD,"DI + 1,6000%",02/10/2030,1.0205,0.6358,0.8329,1027.08366,0.0644,0.7685,0.8973,101.8414,607.9284,,0.8329,NÃO,1000,1008.513068,brAA+,#N/A N/A,1000000000,Secured,SR SECURED,Y,#N/A N/A,Materials,FLOATING,02.out.2024,1000000000,Basic Materials,Mining
4/24/2026,AEGPA9,YW120945     Corp,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),DI SPREAD,"DI + 2,7500%",25/06/2029,5.9153,4.1383,5.1194,1004.149156,0.2045,4.9149,5.324,95.2794,532.0685,,5.1194,NÃO,1000,1053.899863,brA-,#N/A N/A,750000000,Sr Unsecured,SR UNSECURED,Y,1.46557656,Utilities,FLOATING,25.jun.2024,750000000,Utilities,Water
4/24/2026,AESLA7,YX229376     Corp,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),IPCA SPREAD,"IPCA + 6,1409%",15/04/2034,7.5894,7.3369,7.4525,1023.197449,0.1112,7.3413,7.5638,93.2183,1433.908,15/05/2033,1.0637,SIM,1096.07954,1097.635961,#N/A N/A,#N/A N/A,556800000,Sr Unsecured,SR UNSECURED,N,4.948844661,Utilities,FIXED,15.abr.2024,556800000,Utilities,Electric
4/24/2026,AGEO15,YM016793     Corp,AGEO TERMINAIS E ARMAZENS GERAIS S/A (*),IPCA SPREAD,"IPCA + 7,6056%",15/06/2037,7.4626,7.1951,7.3284,1081.281747,0.0826,7.2458,7.4111,101.8419,1787.2755,15/05/2035,1.3663,SIM,1034.89275,1061.725588,#N/A N/A,#N/A N/A,154000000,Sr Unsecured,SR UNSECURED,N,6.254167357,Industrials,FIXED,20.jun.2025,154000000,"Consumer, Cyclical",Storage/Warehousing
4/24/2026,ALGAC2,BU372442     Corp,ALGAR TELECOM S/A (*),IPCA SPREAD,"IPCA + 5,8806%",15/01/2032,8.4938,8.2838,8.4116,1134.605904,0.1048,8.3068,8.5164,90.8261,1020.3374,15/05/2031,1.9857,SIM,1230.37148,1249.206586,brAA,#N/A N/A,315000000,Sr Unsecured,SR UNSECURED,N,3.353957275,Communications,FIXED,15.jan.2022,315000000,Communications,Telecommunications
4/24/2026,ANHBA5,YT601885     Corp,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),DI SPREAD,"DI + 0,4400%",05/11/2030,0.8005,0.6351,0.6813,1059.694675,0.0595,0.6217,0.7409,99.2827,755.343,,0.6813,NÃO,1000,1067.350298,#N/A N/A,#N/A N/A,2000000000,Sr Unsecured,SR UNSECURED,Y,2.280562331,Industrials,FLOATING,05.nov.2024,2000000000,"Consumer, Non-cyclical",Commercial Services
4/24/2026,ANHBB6,YM776319     Corp,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),IPCA SPREAD,"IPCA + 7,0457%",15/07/2037,7.3326,7.0671,7.3248,1033.353987,0.1463,7.1785,7.4713,98.2539,1701.3229,15/05/2035,1.2852,SIM,1032.85109,1051.718157,#N/A N/A,#N/A N/A,1100000000,Sr Unsecured,SR UNSECURED,N,5.837867796,Industrials,FIXED,15.jul.2025,1100000000,"Consumer, Non-cyclical",Commercial Services
4/24/2026,APFD19,BZ763474     Corp,AUTOPISTA FERNAO DIAS S/A (*),IPCA SPREAD,"IPCA + 6,3854%",15/09/2031,8.2609,7.0716,7.717,1094.631128,0.5906,7.1264,8.3078,96.4526,727.9713,15/05/2029,1.3269,SIM,1127.388392,1134.890018,brAAA,#N/A N/A,950000000,Sr Unsecured,SR UNSECURED,N,2.060609971,Industrials,FIXED,15.set.2022,950000000,"Consumer, Non-cyclical",Commercial Services
4/24/2026,APPSA2,ZF941225     Corp,AUTOPISTA PLANALTO SUL S/A (*),IPCA SPREAD,"IPCA + 6,7800%",15/09/2031,8.4805,7.9967,8.4536,1061.69758,0.0934,8.3602,8.547,94.7839,864.739,15/08/2030,2.0853,SIM,1112.27959,1120.124919,brAAA,#N/A N/A,300000000,Sr Unsecured,SR UNSECURED,N,#N/A N/A,Industrials,FIXED,15.jan.2024,300000000,Industrial,Engineering&Construction
4/24/2026,APRB18,ZQ677089     Corp,AUTOPISTA REGIS BITTENCOURT S/A,IPCA SPREAD,"IPCA + 4,5000%",15/06/2031,8.8147,8.4808,8.6102,1270.217413,0.1611,8.4491,8.7715,88.3771,796.246,15/05/2029,1.8718,SIM,1415.346218,1437.26953,brAAA,#N/A N/A,914999148.3,Sr Unsecured,COMPANY GUARNT,N,2.299188785,Industrials,FIXED,19.nov.2019,914999148.3,"Consumer, Non-cyclical",Commercial Services
